Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",C_Rect_L7.0mm_W2.5mm_P5.00mm,2,1u,
"C10, C8",CP_Radial_D8.0mm_P3.50mm,2,C_Small,
"C2, C3, C5, C6, C7, C9",C_Rect_L7.0mm_W2.5mm_P5.00mm,6,C_Small,
C4,CP_Radial_D5.0mm_P2.50mm,1,10u ,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Input,
J2,PinHeader_1x02_P2.54mm_Vertical,1,+5V,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Output,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,10k,
"R10, R11, R3, R4, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,8,R_US,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,47,
"U1, U2",DIP-8_SOIC-8_Combo,2,TLV9362,
