Designator,Mid X,Mid Y,Rotation,Layer
C1,105.0,-66.3,90.0,top
C10,135.1,-64.452651,270.0,top
C11,146.44,-66.74,270.0,top
C2,114.8,-72.5,180.0,top
C3,117.0,-64.9,270.0,top
C4,137.905112,-56.2,0.0,top
C5,114.8,-77.5,180.0,top
C6,117.0,-85.1,90.0,top
C7,135.2,-77.5,0.0,top
C8,132.9,-88.347349,90.0,top
C9,135.2,-72.4,0.0,top
J1,105.0,-75.0,0.0,top
J2,125.0,-55.0,90.0,top
J3,145.0,-75.0,0.0,top
R1,117.255,-58.1,180.0,top
R10,142.155,-62.74,180.0,top
R11,142.155,-67.54,180.0,top
R2,111.855,-58.1,180.0,top
R3,111.045,-63.0,0.0,top
R4,111.045,-67.7,0.0,top
R5,132.105,-55.2,0.0,top
R6,111.045,-87.6,0.0,top
R7,111.045,-82.8,0.0,top
R8,140.455,-87.6,180.0,top
R9,140.455,-82.9,180.0,top
U1,125.035,-65.975,0.0,top
U2,124.965,-78.675,0.0,top
