Designator,Mid X,Mid Y,Rotation,Layer
C1,105.0,-64.0,90.0,top
C10,145.0,-86.0,90.0,top
C11,111.0,-86.0,270.0,top
C12,117.0,-86.0,90.0,top
C13,133.0,-86.0,90.0,top
C14,139.0,-86.0,270.0,top
C2,125.0,-55.7,0.0,top
C3,145.0,-64.0,270.0,top
C4,111.0,-64.0,90.0,top
C5,117.0,-64.0,270.0,top
C6,133.0,-64.0,270.0,top
C7,139.0,-64.0,90.0,top
C8,105.0,-86.0,270.0,top
C9,125.0,-94.5,0.0,top
J1,107.0,-75.0,0.0,top
J2,115.0,-75.0,0.0,top
J3,135.0,-75.0,0.0,top
J4,143.0,-75.0,0.0,top
L1,122.0,-64.0,180.0,top
L2,128.0,-64.0,180.0,top
L3,122.0,-86.0,0.0,top
L4,128.0,-86.0,0.0,top
