Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C21, C24, C25, C26, C27, C28, C29, C3, C30, C33, C4, C5, C55, C56, C6, C64, C65, C66, C7, C8, C9",0805,33,100n,
"C20, C52",0805,2,10n,
"C22, C23, C31, C32, C35, C37, C38, C40, C44, C46, C48, C50, C51, C54, C57, C58, C59, C60, C62",0805,19,1u,
"C34, C39, C41, C42, C47, C53, C61",CP_Elec_4x4.5,7,10u,
"C36, C43, C45",0805,3,1n,
C49,0805,1,2.7n,
C63,CP_Elec_6.3x5.9,1,100u,
"D1, D3, D4, D6",0805,4,LED,
"D2, D5",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
"D7, D8, D9",D_SOD-123,3,MBRX120LF-TP,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
"J1, J2, J3, J4",PinHeader_1x02_P2.54mm_Vertical,4,TX,
J10,PinHeader_1x03_P2.54mm_Vertical,1,I/Q In,
J11,PinHeader_1x02_P2.54mm_Vertical,1,P06,
J12,PinHeader_1x02_P2.54mm_Vertical,1,P07,
J13,PinHeader_1x02_P2.54mm_Vertical,1,P10,
J14,PinHeader_1x02_P2.54mm_Vertical,1,P11,
J15,PinHeader_1x02_P2.54mm_Vertical,1,P12,
J16,PinHeader_1x02_P2.54mm_Vertical,1,P13,
J17,PinHeader_1x03_P2.54mm_Vertical,1,UART,
J18,PinHeader_1x03_P2.54mm_Vertical,1,I/Q Out,
J19,PinHeader_1x02_P2.54mm_Vertical,1,USB VBUS,
J20,PinHeader_1x02_P2.54mm_Vertical,1,+12V IN,
J21,PinHeader_1x02_P2.54mm_Vertical,1,AIN0,
J22,PinHeader_1x02_P2.54mm_Vertical,1,AIN1,
J23,PinHeader_1x02_P2.54mm_Vertical,1,AIN2,
J24,SMA_Jack_Vertical,1,REF_IN,
J25,PinHeader_1x02_P2.54mm_Vertical,1,CLK1,
J26,PinHeader_1x02_P2.54mm_Vertical,1,CLK3,
J27,SMA_Jack_Vertical,1,CLK0,
J28,SMA_Jack_Vertical,1,CLK2,
J29,SMA_Jack_Vertical,1,CLK4,
J30,PinHeader_1x02_P2.54mm_Vertical,1,AF In,
J31,PinHeader_1x02_P2.54mm_Vertical,1,+5VA In,
J32,RJ45_OST_PJ012-8P8CX_Vertical,1,Microphone,
J33,PinHeader_1x02_P2.54mm_Vertical,1,Mic Power Jumper,
J34,PinHeader_2x02_P2.54mm_Vertical,1,AF Jumper,
J35,PinHeader_1x02_P2.54mm_Vertical,1,Mic Output,
J36,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
J37,PinHeader_1x02_P2.54mm_Vertical,1,AF Det Out,
J38,Kycon_STX-3680-5NB,1,Headphones,
"J5, J6, J7, J8",PinHeader_1x02_P2.54mm_Vertical,4,MUTE,
J9,Kycon_STX-3680-5NB,1,Paddles,
L1,1206,1,Fair-Rite 2512066017Y1,
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002,
"R1, R18, R32, R33, R40, R44, R48, R49, R51, R52, R59, R6, R61",0805,13,10k,
"R10, R11, R12, R13",0805,4,330,
"R14, R15, R17, R19, R54",0805,5,4.7k,
"R16, R20, R21, R22, R23, R24, R29, R38, R41, R56",0805,10,47,
"R2, R3, R4, R5, R7, R8",0805,6,47k,
R25,0805,1,100,
"R26, R35, R36, R39, R46, R50, R53, R55, R58, R62, R63, R64",0805,12,100k,
"R27, R37, R42, R9",0805,4,470,
R28,0805,1,7.5k,
"R30, R34, R45, R47, R60, R66",0805,6,1k,
R31,Bournes_PTV09A-4,1,5k trim,
R43,0805,1,270k,
R57,Alps_RK09L1140,1,10k,
R65,0805,1,150,
"S1, S2, S3, S4",E-Switch_TL1105,4,PUSHBUTTON_TACTILE,
SW1,Bournes_PEC11R-4xxxF-Sxxxx,1,Tune,
SW2,Bournes_PEC11R-4xxxF-Sxxxx,1,Multifunction,
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GNDA,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GNDD,
U1,TSSOP-24_6.1x7.8mm_P0.65mm,1,TCAL6416PWR,
"U10, U11, U12, U13",SOIC-8_3.9x4.9mm_P1.27mm,4,TLV9362,
U14,SOIC-8_3.9x4.9mm_P1.27mm,1,LM4875,
"U15, U2",SOT-23-6,2,MCP4725A1T-E/CH,
U3,RPi_Pico_SMD_TH,1,Pico,
U4,ASTX-H11-25.000MHZ-T,1,ATX-H11-F-25.000MHZ-F25-T,
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U6,TO-252-2,1,UA78M33CKVURG3,
U7,TO-252-2,1,UA78M05IKVURG3,
U8,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,Si5351C,
U9,ST7796_4.0in,1,"4"" TFT LCD ST7796S",
