Designator,Mid X,Mid Y,Rotation,Layer
C1,90.0,-126.1,0.0,top
C10,70.1,-105.4,180.0,top
C11,164.6,-96.8,270.0,top
C12,179.4,-100.4,180.0,top
C13,71.9,-92.4,0.0,top
C14,164.7,-110.8,0.0,top
C15,75.8,-80.0,0.0,top
C16,68.6,-80.0,0.0,top
C17,78.9,-54.3,90.0,top
C18,71.9,-59.4,0.0,top
C19,101.3,-130.4,0.0,top
C2,207.0,-77.0,90.0,top
C20,106.6,-134.0,270.0,top
C21,167.4,-141.5,180.0,top
C22,54.4,-125.4,0.0,top
C23,66.2,-125.4,0.0,top
C24,110.0,-136.3,180.0,top
C25,58.9,-125.4,0.0,top
C26,70.7,-125.4,0.0,top
C27,113.8,-136.3,0.0,top
C28,106.5,-142.1,0.0,top
C29,117.7,-138.6,0.0,top
C3,207.0,-89.0,90.0,top
C30,117.7,-142.1,180.0,top
C31,82.4,-93.4,0.0,top
C32,98.0,-103.1,270.0,top
C33,158.2,-110.8,0.0,top
C34,105.8,-95.0,180.0,top
C35,143.1,-136.0,180.0,top
C36,90.2,-93.6,180.0,top
C37,128.735,-99.3,90.0,top
C38,108.8,-79.6,270.0,top
C39,124.035,-107.2,90.0,top
C4,207.0,-101.0,90.0,top
C40,98.4,-74.5,180.0,top
C41,116.6,-64.4,270.0,top
C42,139.235,-85.9,270.0,top
C43,106.0,-74.4,270.0,top
C44,116.4,-81.1,0.0,top
C45,119.3,-75.4,270.0,top
C46,124.5,-62.9,180.0,top
C47,111.875,-86.005,90.0,top
C48,124.4,-81.5,0.0,top
C49,146.635,-102.1,0.0,top
C5,207.0,-65.0,90.0,top
C50,128.5,-81.5,0.0,top
C51,131.1,-68.9,180.0,top
C52,146.635,-95.0,180.0,top
C53,145.1,-62.3,180.0,top
C54,146.635,-98.4,0.0,top
C55,111.475,-97.89,180.0,top
C56,111.475,-93.29,0.0,top
C57,139.3,-75.5,0.0,top
C58,143.6,-70.4,0.0,top
C59,122.275,-96.99,270.0,top
C6,90.0,-117.0,0.0,top
C60,115.475,-93.29,180.0,top
C61,106.6,-103.9,180.0,top
C62,147.3,-73.0,90.0,top
C63,115.1,-110.2,180.0,top
C64,172.1,-96.75,270.0,top
C65,167.1,-100.9,0.0,top
C66,173.5,-106.6,180.0,top
C7,74.3,-105.4,0.0,top
C8,152.885,-107.0,0.0,top
C9,157.485,-107.0,0.0,top
D1,203.0,-65.0,270.0,bottom
D2,163.25,-118.65,0.0,bottom
D3,203.0,-77.0,270.0,bottom
D4,203.0,-89.0,270.0,bottom
D5,72.0,-55.0,0.0,bottom
D6,203.0,-101.0,270.0,bottom
D7,200.0,-146.5,270.0,top
D8,134.7,-80.6,90.0,top
D9,144.1,-80.6,90.0,top
J1,97.775,-147.0,90.0,top
J10,154.985,-102.7,90.0,top
J11,155.475,-91.8,90.0,top
J12,161.775,-91.8,90.0,top
J13,168.075,-91.8,90.0,top
J14,174.375,-91.8,90.0,top
J15,180.675,-91.8,90.0,top
J16,186.975,-91.8,90.0,top
J17,214.7,-109.9,270.0,top
J18,173.285,-102.7,90.0,top
J19,206.275,-147.0,90.0,top
J2,104.075,-147.0,90.0,top
J20,65.475,-147.0,90.0,top
J21,154.775,-147.0,90.0,top
J22,161.075,-147.0,90.0,top
J23,167.375,-147.0,90.0,top
J24,94.0,-136.0,0.0,top
J25,78.675,-147.0,90.0,top
J26,84.875,-147.0,90.0,top
J27,55.0,-136.0,0.0,top
J28,68.0,-136.0,0.0,top
J29,81.0,-136.0,0.0,top
J3,110.335,-147.0,90.0,top
J30,85.575,-104.2,90.0,top
J31,83.975,-125.8,90.0,top
J32,150.6725,-124.58,0.0,bottom
J33,139.235,-109.8,90.0,top
J34,124.635,-87.735,0.0,top
J35,151.7,-137.9,90.0,top
J36,83.975,-115.2,90.0,top
J37,103.4,-110.5,90.0,top
J38,110.0,-122.25,0.0,bottom
J4,116.575,-147.0,90.0,top
J5,145.175,-147.0,90.0,top
J6,138.875,-147.0,90.0,top
J7,132.6,-147.0,90.0,top
J8,126.3,-147.0,90.0,top
J9,97.0,-122.25,0.0,bottom
L1,146.0,-140.1,270.0,top
Q1,118.1625,-125.6,180.0,top
Q2,123.1625,-134.4,180.0,top
Q3,102.3625,-73.8,180.0,top
Q4,124.9625,-75.5,180.0,top
R1,179.4,-103.9,0.0,top
R10,203.0,-65.0,270.0,top
R11,203.0,-77.0,270.0,top
R12,203.0,-89.0,270.0,top
R13,203.0,-101.0,270.0,top
R14,127.6,-136.9,0.0,top
R15,127.5,-140.3,0.0,top
R16,101.6,-138.7,180.0,top
R17,118.2,-130.8,0.0,top
R18,102.6,-142.1,0.0,top
R19,118.2,-134.3,0.0,top
R2,161.0,-125.0,270.0,top
R20,109.9,-132.9,180.0,top
R21,113.8,-132.9,0.0,top
R22,106.5,-138.5,0.0,top
R23,121.8,-138.6,180.0,top
R24,121.8,-142.1,180.0,top
R25,82.4,-90.0,0.0,top
R26,94.4,-103.1,270.0,top
R27,136.035,-104.7125,90.0,top
R28,131.335,-109.8,0.0,top
R29,102.5,-90.8,270.0,top
R3,164.0,-125.0,90.0,top
R30,90.2,-90.0,0.0,top
R31,136.0,-133.225,0.0,top
R32,128.735,-104.7,90.0,top
R33,132.435,-104.7,270.0,top
R34,100.3,-82.9,90.0,top
R35,104.9,-78.8,180.0,top
R36,132.435,-99.3,270.0,top
R37,128.735,-93.6,90.0,top
R38,117.5,-70.4,180.0,top
R39,98.4,-70.6,180.0,top
R4,161.0,-130.0,270.0,top
