Designator,Mid X,Mid Y,Rotation,Layer
C1,107.0,-82.6,0.0,top
C2,116.8,-73.6,0.0,top
C3,116.7,-80.6,0.0,top
C4,134.5,-75.0,180.0,top
C5,125.0,-80.6,0.0,top
C6,134.5,-68.65,180.0,top
C7,124.297349,-65.45,180.0,top
J1,107.0,-75.0,0.0,top
J2,143.0,-75.0,0.0,top
J3,125.0,-56.0,90.0,top
J4,125.0,-94.0,90.0,top
J5,135.0,-56.0,90.0,top
J6,125.0,-87.0,0.0,top
L1,113.12499,-88.6,270.0,top
L2,134.1,-86.87501,0.0,top
R1,134.955,-61.5,0.0,top
R2,139.3,-86.845,270.0,top
U1,125.0,-75.0,180.0,top
