Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,330n,
"C2, C4",0805,2,100n,
D1,DO-214AC,1,SK56A-LTP,
"D2, D3, D4",0805,3,LED,
F1,1812,1,SMD1812B260TF/16,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,CUI_PJ-202AH,1,CUI PJ-202AH,
"J10, J11, J12, J13, J14, J15, J16, J17, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35",PinSocket_1x02_P2.54mm_Vertical,18,12VDC,
"J18, J19, J20, J21, J22, J23, J24, J25",PinSocket_1x02_P2.54mm_Vertical,8,3.3VDC,
"J2, J3, J4, J5, J6, J7, J8, J9",PinSocket_1x02_P2.54mm_Vertical,8,5VDC,
R1,0805,1,2.7k,
R2,0805,1,660,
R3,0805,1,1k,
U1,TO-252-2,1,UA78M05IKVURG3,
U2,TO-252-2,1,UA78M33CKVURG3,
